MSZoning,LotFrontage,LotArea,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
RL,70,7560,NAmes,1Story,5,1958,1965,TA,TA,No,LwQ,504,Unf,0,525,1029,1339,0,0,0,1,0,3,1,6,0,Attchd,1,294,COD,Abnorml,139000
RL,Other,14215,Other,2Story,Other,2005,2006,Gd,Ex,Av,Unf,0,Unf,0,1158,1158,1158,1218,0,0,3,1,4,1,9,1,BuiltIn,3,853,New,Partial,325300
RM,Other,7449,Other,Other,7,1930,1950,TA,TA,No,Unf,0,Unf,0,637,637,1108,0,0,0,1,0,3,1,6,1,Attchd,1,280,WD,Normal,139400
RL,Other,9742,CollgCr,1Story,Other,2002,2002,Gd,Gd,No,Unf,0,Unf,0,1777,1777,1795,0,0,0,2,0,3,1,7,1,Attchd,2,534,WD,Normal,230000
RM,Other,4224,Other,1Story,5,1976,1976,TA,Gd,No,GLQ,840,Unf,0,200,1040,1060,0,1,0,1,0,3,1,6,1,Attchd,2,572,WD,Normal,129900
RL,Other,8246,Other,1Story,5,1968,2001,TA,TA,Mn,Rec,188,ALQ,668,204,1060,1060,0,1,0,1,0,3,1,6,1,Attchd,1,270,WD,Normal,154000
RL,Other,14230,Other,1Story,Other,2007,2007,Gd,Gd,No,Unf,0,Unf,0,1566,1566,1600,0,0,0,2,0,3,1,7,1,Attchd,3,890,WD,Normal,256300
RL,60,7200,NAmes,1Story,5,1951,2000,TA,TA,Mn,BLQ,234,Rec,486,180,900,900,0,0,1,1,0,3,1,5,0,Detchd,2,576,WD,Normal,134800
RL,Other,11478,Other,1Story,Other,2007,2008,Gd,Ex,No,GLQ,1218,Unf,0,486,1704,1704,0,1,0,2,0,3,1,7,1,Attchd,3,772,WD,Normal,306000
RL,Other,16321,NAmes,1Story,5,1957,1997,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,1600,0,1,0,1,0,2,1,6,2,Attchd,1,319,WD,Normal,207500
RM,60,6324,Other,1Story,Other,1927,1950,TA,TA,No,Unf,0,Unf,0,520,520,520,0,0,0,1,0,1,1,4,0,Detchd,1,240,WD,Normal,68500
C (all),Other,8500,Other,2Story,Other,1920,1950,TA,TA,No,Unf,0,Unf,0,649,649,649,668,0,0,1,0,3,1,6,0,Detchd,1,250,WD,Normal,40000
RL,Other,8544,Other,1Story,5,1966,2006,TA,TA,No,Unf,0,Unf,0,1228,1228,1228,0,0,0,1,1,3,1,6,0,Attchd,1,271,WD,Normal,149350
RL,Other,11049,CollgCr,1Story,Other,2007,2007,Gd,Ex,Av,Unf,0,Unf,0,1234,1234,1234,0,0,0,2,0,3,1,7,0,Attchd,2,484,WD,Normal,179900
RL,70,10552,NAmes,1Story,5,1959,1959,TA,TA,No,Rec,1018,Unf,0,380,1398,1700,0,0,1,1,1,4,1,6,1,Attchd,2,447,WD,Normal,165500
RL,60,7313,Other,1Story,Other,2005,2005,Ex,Ex,No,GLQ,1153,Unf,0,408,1561,1561,0,1,0,2,0,2,1,6,1,Attchd,2,556,WD,Normal,277500
RL,Other,13418,Other,2Story,Other,2004,2005,Gd,Ex,Av,Unf,0,Unf,0,1117,1117,1132,1320,0,0,3,1,4,1,9,1,BuiltIn,3,691,WD,Normal,309000
RL,Other,10859,CollgCr,1Story,5,1994,1995,TA,Gd,No,Unf,0,Unf,0,1097,1097,1097,0,0,0,1,1,3,1,6,0,Attchd,2,672,WD,Normal,145000
RL,Other,8532,NAmes,1Story,5,1954,1990,TA,TA,No,Rec,1213,Unf,0,84,1297,1297,0,0,1,1,0,3,1,5,1,Attchd,2,498,WD,Normal,153000
RL,Other,7922,NAmes,1Story,5,1953,2007,TA,TA,No,GLQ,731,Unf,0,326,1057,1057,0,1,0,1,0,3,1,5,0,Detchd,1,246,WD,Abnorml,109000
RL,65,6040,Edwards,1Story,Other,1955,1955,TA,None,None,None,0,None,0,0,0,1152,0,0,0,2,0,2,2,6,0,None,0,0,WD,AdjLand,82000
RL,Other,8658,NAmes,1Story,6,1965,1965,TA,TA,No,Rec,643,Unf,0,445,1088,1324,0,0,0,2,0,3,1,6,1,Attchd,2,440,WD,Abnorml,160000
RL,Other,16905,Other,1Story,5,1959,1959,TA,TA,Gd,BLQ,967,Unf,0,383,1350,1328,0,0,1,1,1,2,1,5,2,Attchd,1,308,WD,Normal,170000
RL,Other,9180,Other,Other,5,1983,1983,TA,Gd,Av,ALQ,747,LwQ,93,0,840,884,0,1,0,1,0,2,1,5,0,Attchd,2,504,WD,Normal,144000
RL,70,9200,CollgCr,1Story,5,1975,1980,TA,Gd,Av,LwQ,280,BLQ,491,167,938,938,0,1,0,1,0,3,1,5,0,Detchd,1,308,WD,Normal,130250
RL,70,7945,NAmes,1Story,5,1959,1959,TA,TA,No,ALQ,179,BLQ,506,465,1150,1150,0,1,0,1,0,3,1,6,0,Attchd,1,300,WD,Normal,141000
RL,Other,7658,Other,1Story,Other,2005,2005,Ex,Ex,No,GLQ,456,Unf,0,1296,1752,1752,0,1,0,2,0,2,1,6,1,Attchd,2,576,WD,Normal,319900
RL,Other,12822,Other,Other,7,2003,2003,Gd,Ex,No,GLQ,1351,Unf,0,83,1434,1518,631,1,0,1,1,1,1,6,1,Attchd,2,670,WD,Abnorml,239686
FV,Other,11096,Other,1Story,Other,2006,2006,Gd,Gd,Av,GLQ,24,Unf,0,1632,1656,1656,0,0,0,2,0,3,1,7,0,Attchd,3,826,WD,Normal,249700
RM,Other,4456,OldTown,2Story,Other,1920,2008,TA,TA,No,Unf,0,Unf,0,736,736,736,716,0,0,2,0,2,3,8,0,None,0,0,New,Partial,113000
RL,Other,7742,Other,1Story,5,1966,1966,TA,TA,No,BLQ,763,Unf,0,192,955,955,0,1,0,1,0,3,1,6,0,Attchd,1,386,WD,Normal,127000
RL,65,13869,Other,2Story,6,1997,1997,TA,Gd,Av,GLQ,182,Unf,0,612,794,794,676,0,1,2,0,3,1,6,0,Attchd,2,388,WD,Normal,177000
RM,Other,6240,Other,Other,6,1934,1950,TA,TA,No,Unf,0,Unf,0,816,816,816,0,0,0,1,0,3,1,6,1,Detchd,2,528,WD,Normal,114500
RM,Other,8472,Other,1Story,5,1963,1963,Fa,Gd,Gd,LwQ,104,GLQ,712,0,816,816,0,1,0,1,0,2,1,5,0,CarPort,2,516,WD,Normal,110000
RL,Other,50271,Other,1Story,Other,1981,1987,Gd,Ex,Gd,GLQ,1810,Unf,0,32,1842,1842,0,2,0,0,1,0,1,5,1,Attchd,3,894,WD,Normal,385000
RL,60,7134,NAmes,Other,5,1955,1955,TA,TA,No,ALQ,384,Unf,0,0,384,1360,0,0,0,1,0,3,1,6,1,Detchd,2,572,WD,Normal,130000
RL,Other,10175,NAmes,1Story,6,1964,1964,TA,TA,No,BLQ,490,Unf,0,935,1425,1425,0,0,0,2,0,3,1,7,1,Attchd,2,576,WD,Normal,180500
FV,Other,2645,Other,2Story,Other,1999,2000,Gd,Gd,No,GLQ,649,Unf,0,321,970,983,756,1,0,2,1,3,1,7,0,Attchd,2,480,WD,Abnorml,172500
RL,Other,11645,CollgCr,2Story,7,2004,2004,Gd,Gd,No,Unf,0,Unf,0,860,860,860,860,0,0,2,1,3,1,7,0,Attchd,2,565,WD,Normal,196500
RL,Other,13682,Other,2Story,Other,2006,2006,Ex,Ex,Gd,Unf,0,Unf,0,1410,1410,1426,1519,0,0,3,1,3,1,10,1,BuiltIn,3,641,New,Partial,438780
RL,60,7200,CollgCr,1Story,5,1972,1972,TA,TA,Av,ALQ,632,Unf,0,148,780,780,0,0,0,1,0,2,1,4,0,Detchd,1,352,WD,Normal,124900
RL,Other,13072,Other,1Story,6,2004,2004,TA,Gd,No,ALQ,941,Unf,0,217,1158,1158,0,1,0,1,1,3,1,5,0,Detchd,2,576,New,Partial,158000
RM,60,7200,Other,Other,5,1920,1996,TA,TA,No,Unf,0,Unf,0,530,530,581,530,0,0,1,0,3,1,6,0,Detchd,1,288,WD,Normal,101000
RL,Other,6442,Other,1Story,Other,2006,2006,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,1370,0,0,0,2,0,2,1,6,1,Attchd,2,484,WD,Normal,202500
RM,Other,10300,OldTown,2Story,7,1921,1950,TA,TA,No,Unf,0,Unf,0,576,576,902,808,0,0,2,0,3,1,9,0,Detchd,2,480,WD,Normal,140000
RL,70,9375,CollgCr,2Story,7,1997,1998,TA,Gd,No,GLQ,739,Unf,0,318,1057,1057,977,1,0,2,1,3,1,8,0,Attchd,2,645,WD,Normal,219500
RL,Other,9591,Other,2Story,Other,2004,2005,Gd,Ex,Av,Unf,0,Unf,0,1143,1143,1143,1330,0,0,2,1,4,1,9,1,BuiltIn,3,852,WD,Normal,317000
RL,73,19900,NAmes,1Story,7,1970,1989,TA,Gd,Gd,GLQ,912,Unf,0,1035,1947,2207,0,1,0,2,0,3,1,7,1,Attchd,2,576,WD,Normal,180000
RL,Other,10665,CollgCr,1Story,7,2003,2003,Gd,Gd,Av,GLQ,1013,Unf,0,440,1453,1479,0,1,0,2,0,3,1,7,0,Attchd,2,558,WD,Normal,226000
RM,Other,4608,OldTown,1Story,Other,1945,1950,TA,TA,No,Unf,0,Unf,0,747,747,747,0,0,0,1,0,2,1,4,0,Attchd,1,220,WD,Normal,80000
RL,Other,15593,Other,Other,7,1953,1953,Gd,TA,No,BLQ,603,Unf,0,701,1304,1304,983,0,0,2,0,3,1,7,1,Attchd,2,667,WD,Normal,225000
RL,Other,13651,NAmes,1Story,7,1973,1973,TA,Gd,Gd,ALQ,1880,Unf,0,343,2223,2223,0,1,0,2,0,3,1,8,2,Attchd,2,516,WD,Normal,244000
RL,Other,7599,Other,1Story,Other,1982,2006,TA,TA,No,ALQ,565,Unf,0,280,845,845,0,1,0,1,0,2,1,4,0,Detchd,2,360,WD,Normal,129500
RL,Other,10141,Other,2Story,7,1998,1998,TA,Gd,No,Unf,0,Unf,0,832,832,885,833,0,0,2,1,3,1,7,1,Attchd,2,427,WD,Normal,185000
RL,Other,10200,NAmes,1Story,5,1954,2003,TA,TA,No,ALQ,320,BLQ,362,404,1086,1086,0,1,0,1,0,3,1,6,0,Attchd,2,490,WD,Normal,144900
RM,60,5790,OldTown,2Story,Other,1915,1950,Gd,Fa,No,Unf,0,Unf,0,840,840,840,765,0,0,2,0,3,2,8,0,Detchd,1,379,WD,Normal,107400
RM,Other,1596,Other,Other,Other,1973,1973,TA,Gd,Gd,GLQ,462,Unf,0,0,462,526,462,1,0,1,0,2,1,5,0,BuiltIn,1,297,WD,Normal,91000
RL,73,8475,NAmes,1Story,Other,1956,1956,TA,TA,No,ALQ,228,Unf,0,724,952,952,0,0,0,1,0,2,1,4,0,Detchd,1,283,WD,Normal,135750
RM,Other,8635,Other,Other,5,1948,2001,TA,TA,No,BLQ,336,GLQ,41,295,672,1072,213,1,0,1,0,2,1,6,0,Detchd,1,240,WD,Normal,127000
RL,Other,10778,Other,1Story,Other,1968,1968,TA,TA,No,Unf,0,Unf,0,1768,1768,1768,0,0,0,2,0,4,2,8,0,None,0,0,WD,Normal,136500
RM,60,10440,OldTown,2Story,5,1910,1981,TA,TA,No,Unf,0,Unf,0,440,440,682,548,0,0,1,1,2,1,5,0,Detchd,2,440,WD,Normal,110000
RL,Other,13000,NAmes,2Story,6,1968,1968,TA,Gd,No,Rec,448,Unf,0,448,896,1182,960,0,0,2,1,4,1,8,1,Attchd,1,509,WD,Normal,193500
RM,Other,4500,Other,1Story,6,1998,1998,TA,Ex,No,GLQ,1201,Unf,0,36,1237,1337,0,1,0,2,0,2,1,5,0,Attchd,2,405,WD,Normal,153500
RL,Other,10206,Other,1Story,Other,2007,2007,TA,Gd,No,GLQ,33,Unf,0,1530,1563,1563,0,0,0,2,0,3,1,6,1,Attchd,3,758,WD,Normal,245000
RL,80,8892,NAmes,1Story,5,1960,1960,TA,TA,No,Unf,0,Unf,0,1065,1065,1065,0,0,0,1,1,3,1,6,0,Detchd,2,461,COD,Normal,126500
RL,65,8530,Other,Other,7,1995,1996,TA,Gd,No,Unf,0,Unf,0,384,384,804,670,0,0,2,1,3,1,7,1,BuiltIn,2,400,WD,Normal,168500
RL,Other,16059,Other,2Story,Other,1991,1992,Gd,Gd,No,Unf,0,Unf,0,1288,1288,1301,1116,0,0,2,1,4,1,9,1,Attchd,2,462,WD,Normal,260000
RL,Other,11911,Other,2Story,6,2005,2005,Gd,Gd,Av,Unf,0,Unf,0,684,684,684,876,0,0,2,1,3,1,6,1,BuiltIn,2,400,WD,Normal,174000
FV,Other,3951,Other,2Story,6,2009,2009,Gd,Gd,Av,Unf,0,Unf,0,612,612,612,612,0,0,2,1,2,1,4,0,Detchd,2,528,New,Partial,164500
C (all),Other,8470,Other,Other,Other,1915,1982,Fa,TA,No,Unf,0,Unf,0,1013,1013,1013,0,0,0,1,0,2,1,6,0,None,0,0,ConLD,Abnorml,85000
RL,60,8070,CollgCr,1Story,Other,1994,1995,TA,Gd,No,GLQ,588,Unf,0,402,990,990,0,1,0,1,0,3,1,5,0,None,0,0,WD,Normal,123600
RL,60,7200,NAmes,1Story,Other,1950,1950,TA,None,None,None,0,None,0,0,0,1040,0,0,0,1,0,2,1,4,0,Detchd,2,420,WD,Normal,109900
RL,Other,8500,NAmes,1Story,5,1961,1961,TA,TA,No,Rec,600,Unf,0,635,1235,1235,0,0,0,1,0,2,1,6,0,Attchd,2,480,WD,Abnorml,98600
RL,80,13360,Other,1Story,5,1921,2006,TA,Gd,No,ALQ,713,Unf,0,163,876,964,0,1,0,1,0,2,1,5,0,Detchd,2,432,WD,Normal,163500
C (all),60,7200,OldTown,Other,6,1910,1998,TA,TA,Mn,Rec,1046,Unf,0,168,1214,1260,1031,0,1,2,0,4,2,9,1,Detchd,2,506,WD,Normal,133900
RL,Other,9337,CollgCr,2Story,6,1997,1997,TA,Gd,No,GLQ,648,Unf,0,176,824,905,881,1,0,2,1,3,1,7,0,Attchd,2,684,WD,Normal,204750
RL,65,9765,Other,2Story,6,1993,1993,Ex,Gd,No,ALQ,310,Unf,0,370,680,680,790,0,0,2,1,3,1,6,1,BuiltIn,2,420,WD,Normal,185000
RL,Other,10264,CollgCr,1Story,7,1999,1999,Gd,Gd,Av,ALQ,1162,Unf,0,426,1588,1588,0,0,0,2,0,3,1,6,0,Attchd,2,472,WD,Normal,214000
RL,73,10921,Edwards,1Story,Other,1965,1965,TA,TA,No,Rec,520,Unf,0,440,960,960,0,1,0,1,0,3,1,6,0,Attchd,1,432,WD,Normal,94750
RL,Other,10625,Edwards,1Story,5,1920,1950,TA,TA,No,ALQ,108,Unf,0,350,458,835,0,0,0,1,0,2,1,5,0,Basment,1,366,COD,Abnorml,83000
RL,Other,9320,NAmes,1Story,Other,1959,1959,TA,TA,No,ALQ,569,Unf,0,381,950,1225,0,1,0,1,1,3,1,6,0,None,0,0,WD,Normal,128950
RL,80,10603,Other,1Story,6,1977,2001,TA,TA,Mn,ALQ,1200,Unf,0,410,1610,1610,0,1,0,2,0,3,1,6,2,Attchd,2,480,WD,Normal,205000
RL,Other,9206,Other,2Story,6,1985,1985,Gd,Gd,No,Unf,0,Unf,0,741,741,977,755,0,0,2,1,3,1,7,1,Attchd,2,476,WD,Normal,178000
RL,Other,7018,Other,1Story,5,1979,1979,TA,None,None,None,0,None,0,0,0,1535,0,0,0,2,0,4,2,8,0,Attchd,2,410,WD,Alloca,118964
RL,Other,10402,CollgCr,1Story,7,2009,2009,TA,Gd,No,Unf,0,Unf,0,1226,1226,1226,0,0,0,2,0,3,1,6,0,Attchd,3,740,WD,Normal,198900
RM,60,7758,Other,Other,7,1931,1950,TA,TA,No,LwQ,224,Unf,0,816,1040,1226,592,0,0,1,1,4,1,7,2,Detchd,1,240,WD,Normal,169500
FV,Other,9375,Other,2Story,Other,2003,2004,Gd,Ex,No,Unf,0,Unf,0,1053,1053,1053,939,0,0,2,1,3,1,9,1,Attchd,2,648,WD,Normal,250000
RM,60,10800,OldTown,1Story,Other,1885,1995,TA,Fa,No,Unf,0,Unf,0,641,641,1047,0,0,0,1,0,2,1,6,0,Detchd,1,273,WD,Normal,100000
RM,Other,6000,OldTown,1Story,5,1948,1950,TA,TA,No,ALQ,104,BLQ,169,516,789,789,0,0,0,1,0,2,1,5,0,Detchd,1,250,WD,Partial,115000
RM,Other,8500,Other,Other,5,1919,2005,TA,TA,No,Unf,0,Unf,0,793,793,997,520,0,0,2,0,3,1,7,0,None,0,0,WD,Normal,115000
RL,Other,11751,Other,1Story,6,1977,1977,TA,Gd,No,BLQ,705,Unf,0,1139,1844,1844,0,0,0,2,0,3,1,7,1,Attchd,2,546,COD,Normal,190000
RL,Other,9525,Edwards,Other,6,1954,1972,TA,TA,No,Rec,444,Unf,0,550,994,1216,639,0,0,2,0,4,1,7,0,Attchd,1,325,WD,Normal,136900
RL,65,7750,Other,Other,7,2000,2000,TA,Gd,No,GLQ,250,Unf,0,134,384,774,656,0,0,2,1,3,1,7,1,BuiltIn,2,400,WD,Normal,180000
RL,Other,9965,CollgCr,2Story,7,2007,2007,Gd,Ex,Av,GLQ,984,Unf,0,280,1264,1282,1414,1,0,2,1,4,1,10,1,BuiltIn,3,792,New,Partial,383970
RL,Other,21000,Other,1Story,6,1953,1953,TA,Gd,Mn,ALQ,35,Rec,869,905,1809,2259,0,1,0,2,0,3,1,7,2,Basment,2,450,COD,Abnorml,217000
RL,Other,7259,Other,2Story,6,1945,2002,TA,TA,No,ALQ,774,LwQ,150,104,1028,1436,884,1,0,2,1,3,1,9,1,Detchd,1,180,WD,Normal,259500
FV,Other,3230,Other,2Story,6,1999,1999,TA,Gd,No,GLQ,419,Unf,0,310,729,729,729,0,0,2,1,2,1,5,1,Detchd,2,440,WD,Normal,176000
RL,Other,11616,Other,1Story,5,1962,1962,TA,TA,No,LwQ,170,BLQ,670,252,1092,1092,0,0,1,1,0,3,1,6,1,Attchd,1,288,WD,Normal,139000
RL,Other,8536,Edwards,1Story,5,2006,2007,TA,Gd,No,Unf,0,Unf,0,1125,1125,1125,0,0,0,1,1,2,1,5,0,Attchd,2,430,New,Partial,155000
RL,Other,12376,Other,2Story,7,1990,1990,TA,Gd,Mn,GLQ,1470,Unf,0,203,1673,1699,1523,1,0,3,0,5,1,11,2,Attchd,3,594,WD,Normal,320000
RL,65,8461,CollgCr,2Story,6,2005,2006,Gd,Gd,No,Unf,0,Unf,0,728,728,728,728,0,0,2,1,3,1,8,1,Attchd,2,390,New,Partial,163990
RL,80,21453,Other,Other,6,1969,1969,TA,TA,Gd,ALQ,938,Unf,0,0,938,988,0,1,0,1,0,1,1,4,2,Attchd,2,540,WD,Normal,180000
RM,Other,6060,Other,Other,Other,1939,1950,TA,TA,No,Unf,0,Unf,0,732,732,772,351,0,0,1,0,3,1,4,0,Detchd,1,264,WD,Normal,100000
RL,Other,9464,NAmes,1Story,6,1958,1958,TA,TA,No,BLQ,570,Unf,0,510,1080,1080,0,0,0,1,0,3,1,5,0,Attchd,1,288,WD,Normal,136000
RL,Other,7892,Other,1Story,6,1993,1993,Gd,Gd,No,GLQ,300,Unf,0,899,1199,1199,0,0,0,2,0,2,1,5,0,Attchd,2,530,WD,Normal,153900
RL,Other,17043,Other,1Story,6,1979,1998,TA,Gd,No,Unf,0,Unf,0,1362,1362,1586,0,0,0,2,0,3,1,7,1,Attchd,2,435,WD,Normal,181000
RM,60,6780,Other,Other,6,1935,1982,TA,TA,Av,GLQ,490,Unf,0,30,520,520,0,1,0,1,0,2,1,5,0,None,0,0,WD,Normal,84500
RL,Other,4928,Other,1Story,6,1976,1976,TA,Gd,No,ALQ,120,Unf,0,958,1078,958,0,0,0,2,0,2,1,5,1,Attchd,2,440,WD,Normal,128000
RM,Other,4388,OldTown,Other,5,1930,1950,TA,TA,No,LwQ,116,Unf,0,556,672,840,0,0,0,1,0,3,1,5,1,None,0,0,WD,Normal,87000
RL,Other,7590,NAmes,2Story,6,1966,1966,TA,TA,No,BLQ,512,Unf,0,148,660,660,688,0,0,1,1,3,1,6,1,Attchd,2,453,WD,Normal,155000
RL,Other,8973,NAmes,1Story,5,1958,1991,TA,TA,No,Rec,567,BLQ,28,413,1008,1053,0,0,1,1,1,3,1,6,0,2Types,2,750,WD,Abnorml,150000
RL,Other,14200,NAmes,2Story,7,1966,1966,TA,TA,No,Rec,445,Unf,0,479,924,1216,941,0,0,2,1,4,1,8,2,Attchd,2,487,WD,Normal,226000
RL,65,12224,Other,2Story,6,2000,2000,Gd,Gd,No,GLQ,695,Unf,0,297,992,1022,1032,1,0,2,1,3,1,7,1,BuiltIn,2,390,WD,Normal,244000
RL,Other,7388,NAmes,1Story,5,1959,2002,TA,TA,No,Rec,405,Unf,0,658,1063,1327,0,1,0,1,0,3,1,7,0,Detchd,2,624,WD,Normal,150750
RL,Other,6853,Other,1Story,Other,2001,2002,Gd,Ex,No,GLQ,1005,Unf,0,262,1267,1296,0,1,0,2,0,2,1,6,0,Attchd,2,471,WD,Normal,220000
RL,Other,10335,Other,1Story,5,1968,1993,TA,TA,No,Rec,570,Unf,0,891,1461,1721,0,0,0,2,1,3,1,7,1,Attchd,2,440,WD,Normal,180000
RL,80,10400,Other,1Story,7,1970,1970,TA,TA,No,Unf,0,Unf,0,1304,1304,1682,0,0,0,2,0,3,1,7,1,Attchd,2,530,WD,Normal,174000
RL,73,10355,NAmes,1Story,5,1967,1967,TA,TA,No,BLQ,695,Unf,0,519,1214,1214,0,0,0,2,0,3,1,5,1,Attchd,1,318,WD,Normal,143000
RL,Other,11070,Other,1Story,7,1988,1989,TA,TA,No,Unf,0,Unf,0,1907,1907,1959,0,0,0,3,0,5,2,9,0,2Types,3,766,WD,Family,171000
RL,73,9066,CollgCr,2Story,Other,1999,2000,Gd,Gd,Mn,GLQ,668,Unf,0,336,1004,1004,848,0,0,2,1,3,1,7,2,Attchd,3,660,WD,Normal,230000
RL,65,15426,CollgCr,2Story,6,1997,1997,TA,Gd,No,GLQ,821,Unf,0,107,928,928,836,1,0,2,1,3,1,7,0,Attchd,2,470,WD,Normal,231500
RL,70,10500,NAmes,1Story,Other,1971,1971,TA,TA,No,ALQ,432,Unf,0,432,864,864,0,0,0,1,0,3,1,5,1,None,0,0,ConLI,Normal,115000
RL,Other,11645,CollgCr,1Story,7,2005,2005,Gd,Gd,Av,GLQ,1300,Unf,0,434,1734,1734,0,1,0,2,0,3,1,7,0,Attchd,2,660,WD,Normal,260000
RL,Other,8520,NAmes,Other,5,1952,1952,TA,TA,No,Rec,507,Unf,0,403,910,910,475,0,0,2,0,4,1,6,0,Detchd,2,720,WD,Normal,166000
RL,Other,10335,CollgCr,1Story,7,1999,1999,Gd,Gd,Gd,GLQ,679,Unf,0,811,1490,1501,0,1,0,2,0,3,1,6,0,Attchd,2,577,WD,Normal,204000
RM,70,9100,Other,1Story,5,1963,1963,TA,TA,No,Rec,1332,Unf,0,396,1728,1728,0,1,0,2,0,6,2,10,0,Detchd,2,504,ConLI,Abnorml,125000
RM,Other,2522,Edwards,2Story,6,2004,2006,Gd,Gd,No,Unf,0,Unf,0,970,970,970,739,0,0,2,0,3,1,7,0,Detchd,2,380,WD,Normal,130000
RM,Other,6120,Other,1Story,5,1931,1993,TA,TA,No,BLQ,209,Unf,0,506,715,875,0,1,0,1,0,2,1,5,0,Detchd,1,180,WD,Normal,105000
